dataset-comment "Conformance conversion: Mon Dec 07 09:59:10 2009"
dataset-description "Sudden Expansion 500 "
dataset-orientation "Sudden Expansion"
dataset-reynolds 0500
dataset-laminar-turbulent ""
dataset-experiment 1
dataset-code 243
dataset-experiment 1
geometry-flow-z-direction +1
geometry-throat-outlet-expansion-type "sudden"
geometry-sudden-z 0.0
fluid-density 1056
fluid-viscosity 0.0035
-2.9131920E-003  1.25764E-001
-2.7373680E-003  1.45495E-001
-2.5615440E-003  1.59426E-001
-2.3857200E-003  1.67714E-001
-2.2098960E-003  1.72771E-001
-2.0340720E-003  1.76678E-001
-1.8582480E-003  1.80147E-001
-1.6824240E-003  1.83185E-001
-1.5066000E-003  1.85789E-001
-1.3307760E-003  1.87099E-001
-1.1549520E-003  1.87732E-001
-9.7912800E-004  1.89190E-001
-8.0330400E-004  1.90878E-001
-6.2748000E-004  1.92068E-001
-4.5165600E-004  1.92772E-001
-2.7583200E-004  1.92865E-001
-1.0000800E-004  1.92639E-001
7.5816000E-005  1.92200E-001
2.5164000E-004  1.91876E-001
4.2746400E-004  1.91337E-001
6.0328800E-004  1.91118E-001
7.7911200E-004  1.90602E-001
9.5493600E-004  1.89205E-001
1.1307600E-003  1.87902E-001
1.3065840E-003  1.86070E-001
1.4824080E-003  1.83450E-001
1.6582320E-003  1.81352E-001
1.8340560E-003  1.79216E-001
2.0098800E-003  1.76397E-001
2.1857040E-003  1.72638E-001
2.3615280E-003  1.68283E-001
2.5373520E-003  1.61371E-001
2.7131760E-003  1.49263E-001
2.8890000E-003  1.31950E-001
3.0648240E-003  1.07161E-001
3.2406480E-003  7.34377E-002
3.4164720E-003  5.06946E-002
3.5922960E-003  0.00000E+000
3.7681200E-003  0.00000E+000
3.9439440E-003  0.00000E+000
4.1197680E-003  0.00000E+000
4.2955920E-003  0.00000E+000
4.4714160E-003  0.00000E+000
4.6472400E-003  0.00000E+000
4.8230640E-003  0.00000E+000
4.9988880E-003  0.00000E+000
5.1747120E-003  0.00000E+000
5.3505360E-003  0.00000E+000
